tconst	averageRating	numVotes
tt0001190	6.6	8
tt0001195	4.0	6
tt0001200	4.5	15
tt0001202	4.9	8
tt0001206	6.1	11
tt0001207	5.7	88
tt0001211	5.5	29
tt0001216	4.8	9
tt0001217	5.9	47
tt0001218	5.3	79
tt0001223	6.4	3579
tt0001227	5.8	193
tt0001230	5.0	8
tt0001233	8.5	6
tt0001234	5.5	13
tt0001235	5.2	19
tt0001236	4.8	12
tt0001237	4.7	31
tt0001240	3.9	12
tt0001241	4.3	9
tt0001242	6.0	11
tt0001245	5.7	44
tt0001248	5.4	5
tt0001253	5.0	7
tt0001254	4.1	7
tt0001256	5.9	460
tt0001258	5.8	86
tt0001259	4.4	5
tt0001260	3.8	5
tt0001262	5.4	11
tt0001264	6.9	46
tt0001265	6.4	456
tt0001277	4.7	13
tt0001280	4.8	16
tt0001282	7.3	15
tt0001283	6.5	11
tt0001284	5.3	27
tt0001285	5.2	30
tt0001286	5.6	5
tt0001292	5.0	38
tt0001294	6.1	7
tt0001299	4.2	8
tt0001303	5.9	8
tt0001306	4.2	6
tt0001307	5.7	7
tt0001310	5.4	12
tt0001314	5.8	139
tt0001315	6.2	13
tt0001319	5.0	5
tt0001321	5.1	28
tt0001326	5.7	37
tt0001330	6.2	19
tt0001332	5.9	11
tt0001333	5.6	28
tt0001337	5.9	30
tt0001338	5.4	7
tt0001340	5.1	75
tt0001351	6.3	41
tt0001353	5.0	5
tt0001358	4.2	15
tt0001370	5.2	14
tt0001371	6.0	350
tt0001377	4.9	18
tt0001378	5.9	183
tt0001380	3.2	6
tt0001381	5.5	22
tt0001384	4.8	5
tt0001385	5.6	38
tt0001386	4.7	9
tt0001387	6.0	14
tt0001388	5.7	62
tt0001393	4.0	5
tt0001396	2.9	7
tt0001399	5.2	5
tt0001400	6.0	10
tt0001401	6.0	16
tt0001407	5.9	8
tt0001410	4.0	8
tt0001414	6.6	31
tt0001416	4.0	5
tt0001423	4.2	8
tt0001427	5.0	5
tt0001428	5.2	33
tt0001431	6.4	621
tt0001432	5.3	13
tt0001435	5.8	5
tt0001439	5.9	209
tt0001440	4.8	11
tt0001443	5.3	7
tt0001444	3.3	19
tt0001446	5.6	8
tt0001452	5.3	154
tt0001454	5.5	15
tt0001456	8.6	9
tt0001458	5.9	135
tt0001459	5.5	39
tt0001460	3.0	8
tt0001461	6.2	12
tt0001463	5.7	1353
tt0001469	5.9	75
tt0001475	7.4	14
tt0001481	5.7	9
tt0001482	5.1	29
tt0001488	6.3	389
tt0001490	4.8	12
tt0001496	4.2	36
tt0001497	6.5	6
tt0001498	7.7	6
tt0001499	5.6	265
tt0001500	5.7	6
tt0001508	5.2	14
tt0001510	5.4	29
tt0001517	5.7	15
tt0001518	5.7	7
tt0001519	5.3	20
tt0001527	7.7	2484
tt0001529	4.6	10
tt0001530	6.0	10
tt0001531	4.6	8
tt0001532	4.3	7
tt0001542	4.0	10
tt0001544	6.1	515
tt0001545	6.5	97
tt0001550	5.4	33
tt0001551	5.2	85
tt0001552	4.9	14
tt0001557	5.0	60
tt0001560	4.2	10
tt0001563	5.8	29
tt0001564	4.6	9
tt0001567	6.6	5
tt0001571	4.5	8
tt0001577	4.6	8
tt0001582	4.5	10
tt0001583	5.7	11
tt0001586	3.9	7
tt0001587	3.9	16
tt0001588	5.5	140
tt0001593	6.3	295
tt0001594	6.4	259
tt0001598	5.9	13
tt0001607	5.9	37
tt0001613	5.2	115
tt0001614	6.1	16
tt0001615	5.1	14
tt0001624	4.9	34
tt0001630	5.7	18
tt0001632	6.4	38
tt0001642	5.1	27
tt0001654	5.6	24
tt0001655	4.2	10
tt0001658	4.8	11
tt0001659	6.7	10
tt0001660	5.7	167
tt0001663	4.0	5
tt0001668	4.2	24
tt0001671	5.2	21
tt0001680	5.1	514
tt0001681	4.9	219
tt0001685	5.3	6
tt0001692	5.2	8
tt0001693	7.2	13
tt0001695	4.8	41
tt0001696	4.1	7
tt0001701	4.8	60
tt0001706	4.5	6
tt0001709	5.9	22
tt0001715	3.1	7
tt0001717	3.4	14
tt0001722	3.9	7
tt0001724	5.8	215
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.3	14
tt0001737	7.0	1505
tt0001738	7.3	22
tt0001740	6.5	1029
tt0001741	4.3	13
tt0001742	5.6	7
tt0001747	4.9	11
tt0001753	5.4	9
tt0001761	4.3	6
tt0001762	4.8	55
tt0001769	5.3	46
tt0001771	5.4	118
tt0001772	5.6	7
tt0001776	6.7	160
tt0001777	5.3	6
tt0001779	7.0	9
tt0001787	8.5	6
tt0001789	6.4	225
tt0001790	6.0	20
tt0001799	5.0	8
tt0001803	3.9	8
tt0001808	4.6	5
tt0001812	5.8	6
tt0001813	4.2	5
tt0001815	7.1	14
tt0001817	5.3	66
tt0001832	5.6	41
tt0001840	5.2	27
tt0001845	5.1	7
tt0001848	4.3	28
tt0001852	4.1	7
tt0001856	4.7	32
tt0001857	5.6	184
tt0001862	5.4	30
tt0001863	5.2	5
tt0001865	6.0	40
tt0001868	5.4	8
tt0001871	4.7	38
tt0001872	7.3	21
tt0001874	7.3	6
tt0001877	5.1	49
tt0001889	4.0	9
tt0001890	6.0	5
tt0001891	4.2	5
tt0001892	5.8	188
tt0001893	4.6	5
tt0001896	5.2	51
tt0001904	6.0	5
tt0001910	5.5	50
tt0001911	4.9	8
tt0001913	5.6	185
tt0001915	5.8	87
tt0001917	5.8	5
tt0001923	7.2	16
tt0001924	5.0	7
tt0001925	5.2	24
tt0001926	4.5	6
tt0001927	4.6	7
tt0001928	4.7	39
tt0001941	5.1	64
tt0001949	5.7	18
tt0001956	6.1	7
tt0001957	4.9	44
tt0001963	5.4	113
tt0001964	6.0	58
tt0001967	5.9	8
